date,avgBikeDuration,avgBikeDistance,totalBikeTrips
2021-01-01,0 days 00:21:13.757688451,1.8756365059148077,18790
2021-01-02,0 days 00:20:08.940382109,2.0785241901461626,41195
2021-01-03,0 days 00:17:09.302075799,1.634525785883316,14578
2021-01-04,0 days 00:14:49.138000979,1.8618838110454072,36745
2021-01-05,0 days 00:14:38.263353017,1.8887536247985193,38525
2021-01-06,0 days 00:14:41.955300113,1.8815713433791497,37929
2021-01-07,0 days 00:14:04.776776618,1.8697243892095132,37971
2021-01-08,0 days 00:16:25.122804243,1.8329489113232527,37138
2021-01-09,0 days 00:16:43.772580001,1.8845476150383094,34643
2021-01-10,0 days 00:17:33.654282644,1.9544978866682878,35366
2021-01-11,0 days 00:14:06.060824710,1.838359083282925,36106
2021-01-12,0 days 00:15:51.092494538,1.9104754650142257,42298
2021-01-13,0 days 00:15:42.628385988,1.898158569222491,42522
2021-01-14,0 days 00:16:25.057231163,1.9214762396754208,47832
2021-01-15,0 days 00:15:42.007625777,1.8629128559078905,40508
2021-01-16,0 days 00:16:54.743008448,1.990102599777707,41189
2021-01-17,0 days 00:18:20.572567098,1.9936306055212056,38831
2021-01-18,0 days 00:16:22.179999461,1.975383146284946,42740
2021-01-19,0 days 00:13:33.505845979,1.8736397814768302,40592
2021-01-20,0 days 00:13:33.537785412,1.8288601256435417,36251
2021-01-21,0 days 00:15:25.487669584,1.8954820704296906,40897
2021-01-22,0 days 00:15:01.672103072,1.890020507583606,44037
2021-01-23,0 days 00:15:55.120432927,1.8420013226497767,32137
2021-01-24,0 days 00:16:05.219528534,1.7954273627486472,27353
2021-01-25,0 days 00:13:35.278374681,1.806681219373358,36060
2021-01-26,0 days 00:12:45.079098374,1.7953539130904255,27375
2021-01-27,0 days 00:13:32.807862398,1.8828988819388852,38982
2021-01-28,0 days 00:13:01.961885315,1.786142106961489,34137
2021-01-29,0 days 00:12:11.896388780,1.5916774623745087,23566
2021-01-30,0 days 00:15:35.164282949,1.7445135401033396,27330
2021-01-31,0 days 00:17:29.230150485,1.6403491050731651,21723
2021-02-01,0 days 00:44:27.562248995,1.2235535923170808,249
2021-02-03,0 days 01:00:17.973489519,1.7250416651972809,6488
2021-02-04,0 days 00:23:36.569338016,1.8733024938517866,18792
2021-02-05,0 days 00:19:53.404093855,1.8439565238820201,24378
2021-02-06,0 days 00:20:11.905045460,1.9814883475210763,31236
2021-02-07,0 days 00:23:52.951853635,1.6698239641693002,8308
2021-02-08,0 days 00:15:42.356426027,1.6630657543471,18534
2021-02-09,0 days 00:14:01.162618984,1.7239820702204927,22482
2021-02-10,0 days 00:20:31.335293284,1.762507250469748,28232
2021-02-11,0 days 00:14:02.101092301,1.7416850319949284,22979
2021-02-12,0 days 00:15:07.092621784,1.7136509960752158,26009
2021-02-13,0 days 00:16:35.357607,1.756939023345381,23084
2021-02-14,0 days 00:16:54.141845484,1.8021305765824325,23441
2021-02-15,0 days 00:20:38.274098444,1.7382778089919126,23404
2021-02-16,0 days 00:14:54.683006956,1.8155659079237267,31048
2021-02-17,0 days 00:14:58.279431751,1.7284880430001235,30902
2021-02-18,0 days 00:13:06.834338138,1.6108907261581606,7630
2021-02-19,0 days 00:13:02.635685266,1.595055343754622,12061
2021-02-20,0 days 00:15:03.283970870,1.7849994224032355,24992
2021-02-21,0 days 00:16:23.258508026,1.8468977491370944,26475
2021-02-22,0 days 00:12:25.285020201,1.7205984801391365,19553
2021-02-23,0 days 00:13:27.290749686,1.8015893492181938,33534
2021-02-24,0 days 00:15:10.346891354,1.9174307677659677,46049
2021-02-25,0 days 00:15:07.413037971,1.8804140862044372,43427
2021-02-26,0 days 00:15:07.406642728,1.8543588640779751,44560
2021-02-27,0 days 00:16:20.035372383,1.8489998424524188,30815
2021-02-28,0 days 00:15:00.366586933,1.734260560878132,21321
2021-03-01,0 days 00:13:14.330065075,1.7456723164814163,34575
2021-03-02,0 days 00:13:21.965981308,1.7041164539251095,32100
2021-03-03,0 days 00:14:41.911475998,1.8777243305406461,50122
2021-03-04,0 days 00:13:24.204611523,1.7916387698361933,40247
2021-03-05,0 days 00:14:04.800676977,1.7357285102456579,36338
2021-03-06,0 days 00:14:02.652846645,1.7817247427823828,33478
2021-03-07,0 days 00:15:42.521922380,1.8733204694296097,35352
2021-03-08,0 days 00:13:28.625526274,1.8203446564052344,38478
2021-03-09,0 days 00:16:50.424781258,1.975368512709903,60231
2021-03-10,0 days 00:15:31.792532254,1.9245391767434674,54876
2021-03-11,0 days 00:17:43.393104658,1.9943208898805074,68394
2021-03-12,0 days 00:18:22.300777090,1.9746866224062771,69490
2021-03-13,0 days 00:21:39.764037595,1.9935028816252793,53517
2021-03-14,0 days 00:17:45.552454459,1.909284598515725,43533
2021-03-15,0 days 00:12:36.306187125,1.7052502346476417,34394
2021-03-16,0 days 00:12:44.014251531,1.761460556339857,38031
2021-03-17,0 days 00:14:05.963816206,1.8536908427636976,47314
2021-03-18,0 days 00:13:10.462711714,1.760121259568184,22554
2021-03-19,0 days 00:15:24.175335206,1.7870839683151853,43779
2021-03-20,0 days 00:22:00.541568024,2.0918743115039025,65050
2021-03-21,0 days 00:23:29.473494693,2.1326508181591324,68873
2021-03-22,0 days 00:18:59.816617432,1.9525336083294997,56194
2021-03-23,0 days 00:17:36.152540445,2.0198895859524937,61564
2021-03-24,0 days 00:14:08.740580284,1.8570809382451297,32777
2021-03-25,0 days 00:18:08.462007207,2.020958015966179,64657
2021-03-26,0 days 00:22:19.439391188,1.9721500776198753,71615
2021-03-27,0 days 00:26:01.469284162,2.213448604706594,84712
2021-03-28,0 days 00:24:07.890283496,1.823250308863806,25256
2021-03-29,0 days 00:18:51.958819726,1.895610883817948,52598
2021-03-30,0 days 00:18:03.526755368,1.9293132587988184,65613
2021-03-31,0 days 00:16:54.799832532,1.8389046965813616,45382
2021-04-01,0 days 00:16:23.175719902,1.7957329953558223,45527
2021-04-02,0 days 00:17:02.641054376,1.7646957218999024,42831
2021-04-03,0 days 00:20:20.927341631,2.0538652445465035,61218
2021-04-04,0 days 00:23:01.968532407,2.0823117151972084,63335
2021-04-05,0 days 00:17:26.922440234,1.9674212320425264,68141
2021-04-06,0 days 00:18:42.283397835,2.009843556627853,76225
2021-04-07,0 days 00:18:19.612602986,2.0186141621650053,77680
2021-04-08,0 days 00:19:18.607710417,2.0449013465954953,81552
2021-04-09,0 days 00:19:04.192016073,1.9794746818954627,68187
2021-04-10,0 days 00:25:07.617927759,2.134874793933802,87596
2021-04-11,0 days 00:16:37.589123416,1.7224471867104783,20135
2021-04-12,0 days 00:14:22.164442595,1.7643982757150587,33647
2021-04-13,0 days 00:18:15.882158562,2.025374143805126,78682
2021-04-14,0 days 00:17:18.682286270,2.0185743006608656,80113
2021-04-15,0 days 00:15:39.438665536,1.8576136112830515,33032
2021-04-16,0 days 00:15:48.444592183,1.8840023063582643,59414
