date,weatherDescription,avgTemp,totalPrecip,avgBikeduration,avgBikeDistance,totalBikeTrips,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-01-01,Heavy Rain,34.1,6.7,0 days 00:21:13.757688451,1.875636505914808,18790.0,0 days 00:14:15.381077053,5.762586497063681,24827
2021-01-02,Heavy Rain,42.6,3.8,0 days 00:20:08.940382109,2.078524190146162,41195.0,0 days 00:15:46.533358593,5.539014394368825,34309
2021-01-03,Snowing,34.8,7.0,0 days 00:17:09.302075799,1.634525785883316,14578.0,0 days 00:15:12.903814765,15.691055836933003,26345
2021-01-04,Snowing,36.8,1.3,0 days 00:14:49.138000979,1.8618838110454072,36745.0,0 days 00:14:13.734178920,6.258865064007184,44545
2021-01-05,Clear,36.4,0.0,0 days 00:14:38.263353017,1.8887536247985195,38525.0,0 days 00:13:58.007188566,6.514547557802901,46880
2021-01-06,Clear,34.7,0.0,0 days 00:14:41.955300113,1.8815713433791497,37929.0,0 days 00:13:46.000827497,7.824177002865966,49547
2021-01-07,Clear,34.1,0.0,0 days 00:14:04.776776618,1.8697243892095128,37971.0,0 days 00:14:10.413263074,6.252605911930802,50290
2021-01-08,Clear,31.4,0.0,0 days 00:16:25.122804243,1.8329489113232529,37138.0,0 days 00:13:56.533292390,6.10409555046853,50477
2021-01-09,Clear,31.4,0.0,0 days 00:16:43.772580001,1.8845476150383091,34643.0,0 days 00:14:08.553306106,8.311769923184084,39911
2021-01-10,Clear,32.8,0.0,0 days 00:17:33.654282644,1.954497886668288,35366.0,0 days 00:13:49.949857645,8.302190204347681,29855
2021-01-11,Clear,30.7,0.0,0 days 00:14:06.060824710,1.838359083282925,36106.0,0 days 00:13:42.637046681,9.308900185207795,46849
2021-01-12,Clear,31.5,0.0,0 days 00:15:51.092494538,1.9104754650142255,42298.0,0 days 00:14:00.969002453,4.449513555813536,50133
2021-01-13,Clear,33.3,0.0,0 days 00:15:42.628385988,1.898158569222491,42522.0,0 days 00:13:52.621116438,9.454390695485907,51306
2021-01-14,Clear,36.8,0.0,0 days 00:16:25.057231163,1.9214762396754208,47832.0,0 days 00:14:09.670373791,6.811541333267988,53051
2021-01-15,Heavy Rain,37.6,4.9,0 days 00:15:42.007625777,1.8629128559078905,40508.0,0 days 00:12:22.416339770,4.468680455718165,53024
