date,weatherDescription,avgTemp,totalPrecip
2021-01-01,Heavy Rain,34.1,6.7
2021-01-02,Heavy Rain,42.6,3.8
2021-01-03,Snowing,34.8,7.0
2021-01-04,Snowing,36.8,1.3
2021-01-05,Clear,36.4,0.0
2021-01-06,Clear,34.7,0.0
2021-01-07,Clear,34.1,0.0
2021-01-08,Clear,31.4,0.0
2021-01-09,Clear,31.4,0.0
2021-01-10,Clear,32.8,0.0
2021-01-11,Clear,30.7,0.0
2021-01-12,Clear,31.5,0.0
2021-01-13,Clear,33.3,0.0
2021-01-14,Clear,36.8,0.0
2021-01-15,Heavy Rain,37.6,4.9
2021-01-16,Heavy Rain,42.7,19.9
2021-01-17,Clear,37.4,0.0
2021-01-18,Light Rain,36.6,0.1
2021-01-19,Clear,34.0,0.0
2021-01-20,Snowing,31.7,0.1
2021-01-21,Clear,30.8,0.0
2021-01-22,Clear,34.9,0.0
2021-01-23,Clear,28.4,0.0
2021-01-24,Clear,26.2,0.0
2021-01-25,Clear,29.5,0.0
2021-01-26,Snowing,32.2,2.3
2021-01-27,Snowing,33.6,0.8
2021-01-28,Clear,27.4,0.0
2021-01-29,Clear,19.5,0.0
2021-01-30,Clear,21.7,0.0
2021-01-31,Snowing,23.1,0.0
2021-02-01,Snowing,30.0,0.3
2021-02-02,Snowing,33.6,1.9
2021-02-03,Snowing,30.5,0.0
2021-02-04,Clear,28.2,0.0
2021-02-05,Light Rain,32.3,2.2
2021-02-06,Clear,28.6,0.0
2021-02-07,Snowing,29.0,0.4
2021-02-08,Clear,18.4,0.0
2021-02-09,Snowing,25.6,0.7
2021-02-10,Clear,23.6,0.0
2021-02-11,Snowing,26.5,0.0
2021-02-12,Clear,19.5,0.0
2021-02-13,Snowing,22.8,0.2
2021-02-14,Clear,30.8,0.0
2021-02-15,Clear,31.7,0.0
2021-02-16,Heavy Rain,39.7,18.2
2021-02-17,Clear,25.8,0.0
2021-02-18,Snowing,25.7,0.3
2021-02-19,Snowing,29.8,0.0
2021-02-20,Clear,27.1,0.0
2021-02-21,Clear,23.0,0.0
2021-02-22,Snowing,29.5,8.6
2021-02-23,Light Rain,34.9,0.4
2021-02-24,Clear,38.1,0.0
2021-02-25,Clear,38.1,0.0
2021-02-26,Clear,33.4,0.0
2021-02-27,Snowing,40.4,7.2
2021-02-28,Heavy Rain,37.6,6.1
2021-03-01,Heavy Rain,40.8,6.2
2021-03-02,Clear,25.9,0.0
2021-03-03,Clear,34.9,0.0
2021-03-04,Clear,34.6,0.0
2021-03-05,Clear,28.0,0.0
2021-03-06,Clear,28.9,0.0
2021-03-07,Clear,30.0,0.0
2021-03-08,Clear,30.6,0.0
2021-03-09,Light Rain,43.9,0.1
2021-03-10,Clear,40.3,0.0
2021-03-11,Light Rain,50.4,0.4
2021-03-12,Heavy Rain,55.1,2.1
2021-03-13,Clear,40.4,0.0
2021-03-14,Clear,40.1,0.0
2021-03-15,Clear,30.4,0.0
2021-03-16,Snowing,31.1,0.0
2021-03-17,Light Rain,40.5,0.1
2021-03-18,Heavy Rain,42.0,20.4
2021-03-19,Light Rain,36.7,3.4
2021-03-20,Clear,39.2,0.0
2021-03-21,Clear,42.9,0.0
2021-03-22,Clear,44.2,0.0
2021-03-23,Clear,46.1,0.0
2021-03-24,Heavy Rain,47.3,24.5
2021-03-25,Heavy Rain,55.4,5.7
2021-03-26,Light Rain,61.0,0.8
2021-03-27,Clear,54.2,0.0
2021-03-28,Heavy Rain,53.3,18.0
2021-03-29,Clear,46.7,0.0
2021-03-30,Clear,47.7,0.0
2021-03-31,Heavy Rain,53.6,8.2
2021-04-01,Heavy Rain,45.7,6.0
2021-04-02,Clear,35.3,0.0
2021-04-03,Clear,39.1,0.0
2021-04-04,Clear,48.5,0.0
2021-04-05,Clear,51.9,0.0
2021-04-06,Clear,51.6,0.0
2021-04-07,Light Rain,51.3,0.4
2021-04-08,Clear,53.8,0.0
2021-04-09,Clear,49.8,0.0
2021-04-10,Light Rain,54.1,0.2
2021-04-11,Heavy Rain,51.8,22.9
2021-04-12,Light Rain,46.2,9.1
2021-04-13,Light Rain,51.0,2.4
2021-04-14,Clear,55.0,0.0
2021-04-15,Heavy Rain,52.3,7.5
2021-04-16,Light Rain,46.4,2.7
2021-04-17,Clear,47.4,0.0
2021-04-18,Light Rain,51.4,0.1
2021-04-19,Light Rain,54.0,0.2
2021-04-20,Clear,57.4,0.0
2021-04-21,Heavy Rain,54.0,5.1
2021-04-22,Clear,41.4,0.0
2021-04-23,Clear,47.8,0.0
2021-04-24,Clear,54.7,0.0
2021-04-25,Heavy Rain,53.2,15.7
2021-04-26,Clear,49.1,0.0
2021-04-27,Clear,51.5,0.0
2021-04-28,Clear,63.6,0.0
2021-04-29,Light Rain,65.8,4.0
2021-04-30,Light Rain,59.8,1.7
2021-05-01,Clear,51.4,0.0
2021-05-02,Clear,64.7,0.0
2021-05-03,Heavy Rain,57.7,10.4
2021-05-04,Heavy Rain,58.2,8.9
2021-05-05,Heavy Rain,55.0,10.9
2021-05-06,Clear,55.3,0.0
2021-05-07,Clear,53.9,0.0
2021-05-08,Light Rain,49.7,2.1
2021-05-09,Heavy Rain,50.5,7.1
2021-05-10,Light Rain,52.6,3.4
2021-05-11,Clear,54.3,0.0
2021-05-12,Clear,53.7,0.0
2021-05-13,Clear,56.3,0.0
2021-05-14,Clear,59.4,0.0
2021-05-15,Clear,61.3,0.0
2021-05-16,Light Rain,61.3,0.4
2021-05-17,Clear,63.0,0.0
2021-05-18,Clear,66.2,0.0
2021-05-19,Clear,70.2,0.0
2021-05-20,Clear,64.0,0.0
2021-05-21,Clear,66.4,0.0
2021-05-22,Clear,75.3,0.0
2021-05-23,Clear,76.4,0.0
2021-05-24,Clear,61.8,0.0
2021-05-25,Clear,64.2,0.0
2021-05-26,Heavy Rain,74.4,2.3
2021-05-27,Clear,73.0,0.0
2021-05-28,Heavy Rain,59.5,25.9
2021-05-29,Heavy Rain,49.6,24.6
2021-05-30,Heavy Rain,49.8,13.5
2021-05-31,Light Rain,56.6,0.1
2021-06-01,Clear,63.3,0.0
2021-06-02,Clear,64.7,0.0
2021-06-03,Heavy Rain,64.6,7.4
2021-06-04,Heavy Rain,70.4,6.4
2021-06-05,Clear,74.7,0.0
2021-06-06,Clear,78.2,0.0
2021-06-07,Heavy Rain,78.1,2.1
2021-06-08,Heavy Rain,76.5,6.9
2021-06-09,Light Rain,77.4,2.5
2021-06-10,Clear,71.8,0.0
2021-06-11,Heavy Rain,64.0,2.9
2021-06-12,Light Rain,64.9,0.2
2021-06-13,Clear,66.2,0.0
2021-06-14,Heavy Rain,66.9,8.5
2021-06-15,Heavy Rain,69.7,11.8
2021-06-16,Clear,67.4,0.0
2021-06-17,Clear,65.9,0.0
2021-06-18,Clear,70.0,0.0
2021-06-19,Light Rain,75.8,0.8
2021-06-20,Light Rain,74.8,0.2
2021-06-21,Clear,77.3,0.0
2021-06-22,Heavy Rain,69.4,13.8
2021-06-23,Clear,64.7,0.0
2021-06-24,Clear,66.4,0.0
2021-06-25,Clear,68.5,0.0
2021-06-26,Light Rain,74.3,0.9
2021-06-27,Clear,78.4,0.0
2021-06-28,Heavy Rain,80.9,3.5
2021-06-29,Light Rain,83.4,1.1
2021-06-30,Light Rain,85.0,0.1
2021-07-01,Heavy Rain,77.0,15.4
2021-07-02,Heavy Rain,71.5,27.0
2021-07-03,Heavy Rain,63.8,31.9
2021-07-04,Light Rain,68.8,0.5
2021-07-05,Light Rain,74.0,0.2
2021-07-06,Light Rain,79.4,3.0
2021-07-07,Light Rain,80.8,0.5
2021-07-08,Heavy Rain,78.1,13.4
